Timestamp,Total_Frames,Dominant_Emotion,Happy_Percent,Sad_Percent,Neutral_Percent
2025-11-04 09:06:38.959036,1,Happy,100.0,0.0,0.0
2025-11-04 09:06:44.008123,81,Neutral,16.049382716049383,16.049382716049383,67.90123456790124
2025-11-04 09:06:49.076081,104,Neutral,19.230769230769234,0.9615384615384616,79.8076923076923
2025-11-04 09:06:54.086473,101,Neutral,16.831683168316832,1.9801980198019802,81.1881188118812
2025-11-04 09:06:59.148779,48,Neutral,18.75,10.416666666666668,70.83333333333334
2025-11-04 09:07:04.401994,22,Sad,40.909090909090914,59.09090909090909,0.0
2025-11-04 09:07:09.545510,25,Happy,52.0,28.000000000000004,20.0
2025-11-04 09:07:14.737143,21,Happy,71.42857142857143,28.57142857142857,0.0
2025-11-04 09:07:19.768890,33,Happy,57.57575757575758,9.090909090909092,33.33333333333333
2025-11-04 09:07:24.847710,49,Happy,48.97959183673469,22.448979591836736,24.489795918367346
2025-11-04 09:07:29.967167,71,Neutral,35.2112676056338,1.4084507042253522,63.38028169014085
2025-11-04 09:07:35.029957,44,Neutral,11.363636363636363,27.27272727272727,61.36363636363637
2025-11-04 09:07:40.173672,22,Sad,36.36363636363637,59.09090909090909,0.0
2025-11-04 09:07:45.281630,23,Sad,8.695652173913043,91.30434782608695,0.0
2025-11-04 09:07:50.445972,28,Sad,7.142857142857142,67.85714285714286,21.428571428571427
2025-11-04 09:07:55.474754,27,Sad,11.11111111111111,59.25925925925925,25.925925925925924
2025-11-04 09:08:00.668503,40,Neutral,7.5,37.5,55.00000000000001
2025-11-04 09:08:05.675688,92,Neutral,3.260869565217391,16.304347826086957,80.43478260869566
2025-11-04 09:08:10.696853,99,Neutral,12.121212121212121,3.0303030303030303,81.81818181818183
2025-11-04 09:08:15.755543,73,Neutral,28.767123287671232,12.32876712328767,58.9041095890411
2025-11-04 09:08:20.771106,83,Neutral,8.433734939759036,8.433734939759036,69.87951807228916
2025-11-04 09:08:25.786203,109,Neutral,2.7522935779816518,11.009174311926607,86.23853211009175
2025-11-04 09:08:30.807053,141,Neutral,1.4184397163120568,1.4184397163120568,97.16312056737588
2025-11-04 09:08:35.864533,66,Neutral,31.818181818181817,15.151515151515152,53.03030303030303
2025-11-04 09:08:40.899420,89,Neutral,5.617977528089887,16.853932584269664,74.15730337078652
2025-11-04 09:15:00.033707,1,Sad,0.0,100.0,0.0
2025-11-04 09:15:05.085520,46,Sad,10.869565217391305,69.56521739130434,19.565217391304348
2025-11-04 09:15:10.175995,66,Neutral,4.545454545454546,39.39393939393939,53.03030303030303
2025-11-04 09:15:15.281755,54,Sad,0.0,48.148148148148145,37.03703703703704
2025-11-04 09:15:20.402992,79,Neutral,0.0,21.518987341772153,67.08860759493672
2025-11-04 09:15:25.489836,38,Happy,42.10526315789473,42.10526315789473,0.0
2025-11-04 09:15:30.584274,40,Surprise,15.0,0.0,0.0
2025-11-04 09:15:35.739911,40,Sad,32.5,37.5,0.0
2025-11-04 09:15:40.772788,38,Sad,5.263157894736842,78.94736842105263,0.0
2025-11-04 09:15:45.830681,34,Sad,26.47058823529412,73.52941176470588,0.0
2025-11-04 09:15:50.880566,23,Happy,43.47826086956522,34.78260869565217,0.0
2025-11-04 09:15:55.908496,34,Neutral,17.647058823529413,29.411764705882355,44.11764705882353
2025-11-04 09:16:01.116590,57,Neutral,12.280701754385964,10.526315789473683,75.43859649122807
2025-11-04 09:16:06.214684,60,Neutral,1.6666666666666667,15.0,80.0
2025-11-04 09:16:11.342090,39,Neutral,15.384615384615385,30.76923076923077,48.717948717948715
2025-11-04 09:16:16.530641,31,Sad,25.806451612903224,35.483870967741936,29.03225806451613
2025-11-04 09:16:21.734231,24,Sad,16.666666666666664,41.66666666666667,4.166666666666666
2025-11-04 09:16:26.816104,38,Neutral,0.0,15.789473684210526,50.0
2025-11-04 09:16:31.826734,94,Neutral,0.0,5.319148936170213,94.68085106382979
2025-11-04 09:16:37.011772,55,Neutral,1.8181818181818181,25.454545454545453,72.72727272727273
2025-11-04 09:16:42.076641,21,Sad,0.0,85.71428571428571,0.0
2025-11-04 09:16:47.264840,23,Sad,21.73913043478261,78.26086956521739,0.0
2025-11-04 09:16:52.363106,26,Sad,0.0,76.92307692307693,19.230769230769234
2025-11-04 09:16:57.384620,43,Sad,0.0,76.74418604651163,23.25581395348837
2025-11-04 09:18:00.554700,1,Sad,0.0,100.0,0.0
2025-11-04 09:18:05.592124,48,Sad,2.083333333333333,66.66666666666666,20.833333333333336
2025-11-04 09:18:10.718847,39,Happy,48.717948717948715,48.717948717948715,0.0
2025-11-04 09:18:15.910521,26,Sad,23.076923076923077,65.38461538461539,3.8461538461538463
2025-11-04 09:18:20.981761,29,Sad,6.896551724137931,72.41379310344827,20.689655172413794
2025-11-04 09:18:26.181973,57,Neutral,1.7543859649122806,21.052631578947366,75.43859649122807
2025-11-04 09:18:31.335264,24,Sad,0.0,79.16666666666666,16.666666666666664
2025-11-04 09:18:36.344653,43,Neutral,6.976744186046512,30.23255813953488,62.7906976744186
2025-11-04 09:18:41.477298,39,Neutral,7.6923076923076925,33.33333333333333,51.28205128205128
2025-11-04 09:18:46.531528,46,Neutral,2.1739130434782608,17.391304347826086,67.3913043478261
2025-11-04 09:18:51.599164,78,Neutral,0.0,7.6923076923076925,89.74358974358975
2025-11-04 09:18:56.818086,22,Surprise,0.0,45.45454545454545,0.0
2025-11-04 09:19:01.985279,23,Sad,4.3478260869565215,91.30434782608695,0.0
